founder_id,name,genome
5061,Aggresso rubra [Protozoa],66;128;50;155;221;240;240;246;133;17
3018,Rubra virido [Bacteria],119;117;220;50;50;220;78;1;163
5067,Celer virido [Bacteria],97;120;220;65;160;232;103;162;158
5075,Rubra virido [Bacteria],136;120;220;3;55;220;143;1;30
982,Aggresso virido [Bacteria],129;120;64;50;170;152;240;30;152
983,Aggresso caeruleo [Bacteria],220;120;178;231;50;79;240;229;2
5079,Caeruleo aggresso [Protozoa],210;136;50;67;220;45;94;154;1;173
5087,Rubra caeruleo [Bacteria],250;116;251;50;10;72;202;1;2
992,Celer virido [Protozoa],143;140;106;69;220;186;240;0;173;2
5088,Senecto caeruleo [Bacteria],220;241;220;196;0;127;240;1;2
994,Celer caeruleo [Bacteria],210;120;220;210;50;231;129;107;2
5089,Celer virido [Bacteria],46;166;97;8;182;231;87;158;231
996,Energo caeruleo [Bacteria],220;128;220;50;26;179;62;1;218
5093,Aggresso caeruleo [Bacteria],189;68;29;85;0;82;240;252;2
5102,Virido aggresso [Bacteria],106;120;134;242;168;230;64;94;116
5112,Energo senecto [Bacteria],226;10;134;50;168;223;64;1;59
3072,Celer energo [Protozoa],18;140;50;211;220;205;240;125;50;16
1027,Celer virido [Protozoa],210;140;239;50;220;53;240;72;185;2
5124,Rubra virido [Bacteria],81;191;234;9;142;127;211;157;205
3078,Celer energo [Protozoa],35;140;177;50;89;151;240;167;1;2
5129,Energo celer [Protozoa],154;140;50;50;106;120;42;0;1;222
3082,Energo caeruleo [Bacteria],199;92;35;142;24;188;161;228;83
1034,Aggresso virido [Bacteria],181;215;220;47;95;220;240;1;120
1037,Aggresso energo [Bacteria],79;120;154;89;172;220;240;4;2
1044,Virido caeruleo [Bacteria],84;229;220;247;50;220;199;100;2
3093,Virido celer [Protozoa],143;30;138;176;116;41;21;2;165;111
5145,Caeruleo rubra [Protozoa],107;140;10;12;220;151;156;130;76;2
5146,Celer virido [Protozoa],131;168;70;50;61;240;247;177;167;2
5148,Virido rubra [Protozoa],86;140;75;249;220;88;79;135;1;40
